discussion,role
Календарь налогоплательщика на 2020 год ,1
Описание раздела Бухгалтерия ,1
1С: Настройка розничных платежей через торговый эквайринг ,1
Документальное оформление перечислений ДС при УСН усн Упрощенная система управления ,1
ИП на УСН 15%: указание документа в КУДиР при чеке коррекции ,1
"Отчетность ИП 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ип Индивидуальный предприниматель усн Упрощенная система управления ",1
Сотрудник арендует имущество у работодателя ,1
"Книга покупок, если часть сч-фактур в бумажном виде, а часть - в электронном ",1
Поступление материалов без отражения стоимости по НУ ,1
Отчетность ОСНО за 3 квартал (9 месяцев) 2022 года ,1
Отчетность по новой организации ,1
Удержание по исполнительному листу более 70% ЗУП начисление алиментов и комиссии банка исполнительный-лист  ,1
Финансовая помощь от учредителя ,1
Суточные в валюте ,1
3-ндфл при продаже физлицом нежилого помещения ,1
Командировка без начислений и выплаты суточных ,1
Льготы IT ,1
Классификация дохода для льготы по налогу на прибль ,1
Прощение долга по беспроцентному займу или вклад в имущество? ,1
Как правильно сделать сверку с ИФНС? ,1
3-ндфл при продаже физлицом нежилого помещения ,1
Компенсация нарушенного права ,1
"Счет выставлен от юрлица юрлицу, а оплата поступила от физлица. ККТ не используется усн Упрощенная система управления ",1
"Учет в автосервисе 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Командировка в ДНР в октябре 2022 ,1
Оплата аренды жилья для командировочного сотрудника ,1
"Дивиденды и мораторий на банкротство ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Выплата зарплаты ранее установленного договором срока ,1
Организации на УСН и ЕСХН: что сдаем за 3 квартал (9 месяцев) 2022 г ,1
Аренда авто у юр лица ,1
Ошибка в производственном ВСД ,1
Документы в валюте ,1
Учет ОС ,1
Работа с wildberries ,1
Промежуточный ликвидационный баланс ,1
Промежуточный ликвидационный баланс ,1
Эквайринг без кассы ип Индивидуальный предприниматель ,1
Самозанятый и прием международных онлайн-платежей ,1
Объект культурного наследия и декларация по налогу на имущество ,1
УСН доходы и патент ип Индивидуальный предприниматель усн Упрощенная система управления ,1
"Загрузка в 1С:бухгалтерию 3.0 данных из ОФД 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Почему ППА (ФСБУ 25) - основное средство фсбу-25 Новый федеральный стандарт бухгалтерского учета ФСБУ 25/2018 носит название «Бухгалтерский учет арендной платы». Утвержден приказом Минфина от 16.10.2018 № 208н и зарегистрирован Минюстом 25.12.2018 (ПБУ вступило в силу).  ,1
Целевая субсидия при УСН-доходы ,1
"Если директора (единственного учредителя) мобилизуют, как сдавать эл.отчетность? ",1
Списание резервов на премии и отпуска ,1
Работа с Маркетплэйс (Вайлдбериз) ,1
Квитанции вместо расчета ип Индивидуальный предприниматель усн Упрощенная система управления ,1
"Почему появляется эта запись ведомости в кассу за сентябрь, красным, Проверила выплаты все есть по кассе, суммы не меняются а запись подгружается? ",1
"Расхождения по ведомостям, в ведомости за сентябрь удерживает за май ",1
"Общепит, можно ли покупать продукты в магазинах? и применять эти чеки в расходах для усн? усн Упрощенная система управления ",1
Корректировка декларации по налогу на имущество ,1
Возврат денежных средств в долларах покупателю из Эстонии ,1
КУДиР раздел III ,1
Подать уведомление о торговом сборе на сайте ФНС ,1
НДС при зачете (позаказный метод) ,1
Лизинг по ФСБУ 25/2018 фсбу-25 Новый федеральный стандарт бухгалтерского учета ФСБУ 25/2018 носит название «Бухгалтерский учет арендной платы». Утвержден приказом Минфина от 16.10.2018 № 208н и зарегистрирован Минюстом 25.12.2018 (ПБУ вступило в силу).  ,1
Перенос данных по заработной плате из ЕРПИ в ЗУП ,1
Кто сталкивался - насколько реально получить отсрочку платежа по УСН (ООО)? ,1
Лизинг ,1
Сдача в аренду недвижимости в другом регионе ,1
"Применение УСН льготной ставки 4%, прав ли инспектор? не верный расчет среднего размера начисленных ежемесячных выплат ",1
Разовая сделка через платежного агента ,1
Малоценное ОС ,1
"Какую оплаты труда выбрать, чтобы не переплачивать недобросовестным работникам? ",1
"Пересортица материалов 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Задержка ЗАРПЛАТЫ на 1 день. Можно ли избежать штрафа? ,1
"Основные средства хоз.способом - переход на УСН, учет НДС ",1
Неверно указан НДС в платежном поручении ,1
Как быть с учетом автомобиля по новому ФСБУ ,1
Счет фактура на аванс ,1
"Как считает зуп? 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Изготовление оборудования подлежащего прослеживаемости ,1
Неверный код вида операции ,1
Стат форма о проданных товарах в Казахстан и Беларусь ,1
"Помогите установить Расширение конфигурации для Управления Торговли 11.4 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Электронная доверенность в л/к ФСС ,1
"Как правильно указать, за какой период предоставляется отпуск ",1
Командировка усн Упрощенная система управления ,1
Запись /получение эцп в ИФНС 15 по г.Санкт-Петербургу ,1
"Ставка НДС при оказании транспортно-экспедиционных услуг контрагенту из РБ вэд ВЭД (внешнеэкономическая деятельность) — это экономическая деятельность, которая связана с коммерческими сделками предприятий из разных стран. ",1
Как правильно посчитать полагающиеся дни отпуска ,1
Вправе ли ИП на УСН применять ОКВЭД 64.92? ип Индивидуальный предприниматель ,1
Подскажите как исправить ошибку? из 2 кв-ла 2018г -не довы ставлен был документ на реализ.услуги ,1
